value,year
518.376,2014
489.264,2013
482.472,2012
468.252,2011
451.260,2010
442.356,2009
451.824,2008
410.664,2007
386.472,2006
378.852,2005
363.696,2004
356.868,2003
352.668,2002
342.288,2001
331.200,2000
316.656,1999
308.868,1998
296.496,1997
278.736,1996
262.560,1995
241.728,1994
223.428,1993
196.380,1992
173.280,1991
147.300,1990
112.992,1989
93.156,1988
84.012,1987
68.784,1986
58.680,1985
46.572,1984
38.076,1983
30.144,1982
25.920,1981
22.836,1980
17.472,1979
12.816,1978
9.600,1977
5.688,1976
1.956,1975
